A/C,RU,R,N,O,U,UO,RO
fruit2 NR,0.154929577,0.197183099,0.042253521,0.197183099,0.126760563,0.14084507,0.14084507
fruit2 HR,0,0.071428571,0.142857143,0.142857143,0.357142857,0.285714286,0
lime MR,0,0.25,0.166666667,0.083333333,0.083333333,0.416666667,0
lime KR,0.166666667,0.142857143,0.164835165,0.128205128,0.128205128,0.133699634,0.135531136
lime LR,0.068965517,0.120689655,0.017241379,0.224137931,0.206896552,0.155172414,0.206896552
lime NR,0.069306931,0.148514851,0.089108911,0.188118812,0.188118812,0.158415842,0.158415842
lime HR,0,0,0,0,1,0,0
nuts MR,0.188679245,0.188679245,0.047169811,0.141509434,0.132075472,0.08490566,0.216981132
nuts KR,0.087628866,0.12371134,0.335051546,0.12371134,0.12371134,0.118556701,0.087628866
nuts LR,0.166666667,0.111111111,0.111111111,0.138888889,0.1875,0.159722222,0.125
nuts NR,0.124481328,0.149377593,0.062240664,0.165975104,0.132780083,0.195020747,0.170124481
nuts HR,0.333333333,0.212121212,0.03030303,0.121212121,0.181818182,0.03030303,0.090909091
running nose NO,0.039215686,0.050108932,0.217864924,0.198257081,0.222222222,0.224400871,0.047930283
running nose YES,0.324324324,0.308880309,0.007722008,0.046332046,0.003861004,0,0.308880309
sneeze NO,0.031531532,0.042792793,0.22972973,0.207207207,0.22972973,0.231981982,0.027027027
sneeze YES,0.321167883,0.306569343,0,0.040145985,0.003649635,0,0.328467153
cough NO,0.063218391,0.109195402,0.195402299,0.170498084,0.197318008,0.195402299,0.068965517
cough YES,0.352040816,0.234693878,0,0.071428571,0,0.005102041,0.336734694
wheeze/blocks NO,0.044303797,0.094936709,0.215189873,0.166666667,0.217299578,0.208860759,0.052742616
wheeze/blocks YES,0.331967213,0.237704918,0,0.098360656,0,0.016393443,0.31557377
headache NO,0.064102564,0.128205128,0.186813187,0.183150183,0.186813187,0.184981685,0.065934066
headache YES,0.389534884,0.191860465,0,0.01744186,0.005813953,0.011627907,0.38372093
itching NO,0.021857923,0.281420765,0.278688525,0.117486339,0.016393443,0.010928962,0.273224044
itching YES,0.267045455,0,0,0.170454545,0.275568182,0.28125,0.005681818
swelling NO,0.05893186,0.189686924,0.187845304,0.154696133,0.110497238,0.110497238,0.187845304
swelling YES,0.4,0,0,0.108571429,0.245714286,0.245714286,0
red rashes NO,0.057692308,0.18006993,0.178321678,0.148601399,0.136363636,0.120629371,0.178321678
red rashes YES,0.47260274,0,0,0.123287671,0.171232877,0.232876712,0
gender F,0.150649351,0.122077922,0.14025974,0.14025974,0.171428571,0.142857143,0.132467532
gender M,0.132132132,0.168168168,0.144144144,0.147147147,0.111111111,0.144144144,0.153153153
f_history NO,0.034965035,0.206293706,0.356643357,0.136363636,0.13986014,0.125874126,0
f_history YES,0.212962963,0.101851852,0,0.148148148,0.145833333,0.155092593,0.236111111
